ccode1,ccode2,capdist,iso_o,iso_d
101,31,1952.5345233450994,VEN,BHS
101,80,2479.87697976122,VEN,BLZ
101,100,1027.8778888146655,VEN,COL
101,94,1885.3438190166617,VEN,CRI
101,40,2160.642444746101,VEN,CUB
101,92,2452.3692021010597,VEN,SLV
101,91,2242.941916415731,VEN,HND
101,93,2125.2026551277872,VEN,NIC
101,95,1392.8063674477735,VEN,PAN
101,58,909.8174892902854,VEN,ATG
101,60,878.5128348888395,VEN,KNA
101,395,6905.954559672398,VEN,ISL
101,205,7147.55143655591,VEN,IRL
101,200,7498.975058777665,VEN,GBR
101,402,4731.8447624723,VEN,CPV
101,437,6784.097939453753,VEN,CIV
101,452,7359.5244797988535,VEN,GHA
101,450,6188.448176819265,VEN,LBR
101,235,6502.775153062896,VEN,PRT
101,230,6998.076435138458,VEN,ESP
101,439,7119.277051833379,VEN,BFA
101,438,5826.781253697788,VEN,GIN
101,404,5597.347031627744,VEN,GNB
101,432,6415.542755638941,VEN,MLI
101,433,5377.777261775042,VEN,SEN
101,451,5893.936615512692,VEN,SLE
101,420,5479.148803802884,VEN,GMB
101,522,11920.224691916876,VEN,DJI
101,531,11373.09492781729,VEN,ERI
101,530,11516.406963000565,VEN,ETH
101,712,13505.768410132097,VEN,MNG
101,500,11047.75160542617,VEN,UGA
101,645,11292.384539334731,VEN,IRQ
101,663,10587.566461165981,VEN,JOR
101,705,12085.661796712766,VEN,KAZ
101,385,8313.825207593207,VEN,NOR
101,365,9940.071433307956,VEN,RUS
101,380,8722.99512428446,VEN,SWE
101,615,7536.5209385576745,VEN,DZA
101,232,7461.076447423331,VEN,AND
101,471,8674.111564255378,VEN,CMR
101,482,9437.218732116082,VEN,CAF
101,221,7951.073614958048,VEN,MCO
101,616,8172.708180672394,VEN,TUN
101,434,7653.505875725643,VEN,BEN
101,411,8377.213608258658,VEN,GNQ
101,946,13275.929445807784,VEN,KIR
101,436,7499.4446591153765,VEN,NER
101,475,8147.369592941064,VEN,NGA
101,403,8214.698001101573,VEN,STP
101,461,7532.1754225244595,VEN,TGO
101,339,8975.724898404404,VEN,ALB
101,346,8832.8507697547,VEN,BIH
101,344,8631.480369419383,VEN,HRV
101,325,8361.771564742077,VEN,ITA
101,343,9101.032000156298,VEN,MKD
101,338,8565.585218440196,VEN,MLT
101,331,8356.243190428067,VEN,SMR
101,355,9245.08678312998,VEN,BGR
101,352,10263.85506902406,VEN,CYP
101,372,10979.258970948023,VEN,GEO
101,350,9356.567112248274,VEN,GRC
101,660,10491.37076715533,VEN,LBN
101,640,10088.48435721821,VEN,TUR
101,305,8648.462176418758,VEN,AUT
101,316,8505.180240964475,VEN,CZE
101,390,8390.29789951759,VEN,DNK
101,310,8855.887970483342,VEN,HUN
101,290,8950.480892291911,VEN,POL
101,317,8704.430409851682,VEN,SVK
101,349,8515.374164100369,VEN,SVN
101,211,7793.078241173694,VEN,BEL
101,220,7619.289872504722,VEN,FRA
101,223,8133.753149359184,VEN,LIE
101,212,7904.048502259938,VEN,LUX
101,210,7856.208172113654,VEN,NLD
101,225,7976.784013726216,VEN,CHE
101,370,9363.066521447103,VEN,BLR
101,366,9100.650514792598,VEN,EST
101,375,9102.18041522908,VEN,FIN
101,367,9098.527510185333,VEN,LVA
101,368,9204.759005355532,VEN,LTU
101,359,9595.788980892066,VEN,MDA
