year,cgdppc,gptfr,cow_code,polity2,iso3,toa_ml,toa_fa,tfr_delta10
1882,NA,6.83,436,NA,NER,1952,1961,0
1882,NA,6.55,475,NA,NGA,1963,NA,0
1882,NA,6.16,93,-5,NIC,1955,1982,0
1882,3401,5.28,210,-3,NLD,1929,1939,-0.090000004
1882,2624,4.47,385,-4,NOR,1909,1946,-0.07
1882,NA,6.15,790,-3,NPL,1993,NA,0
1882,5040,5,920,9,NZL,2003,NA,0.28999999
1882,NA,6.88,698,-6,OMN,2011,NA,0
1882,NA,6.59,770,NA,PAK,1958,2005,0
1882,NA,5.36,95,NA,PAN,1930,NA,0
1882,463,6.82,135,NA,PER,1918,1989,0
1882,NA,6.29,840,NA,PHL,1952,2008,0.22
1882,NA,6.23,910,NA,PNG,NA,NA,0
1882,1593,5.23,290,NA,POL,1920,1947,0.25999999
1882,NA,6.1,731,NA,PRK,NA,NA,0
1882,1318,4.19,235,-5,PRT,1922,1942,-0.0099999998
1882,NA,6.49,150,-4,PRY,1943,NA,0
1882,NA,6.97,694,NA,QAT,1967,NA,0
1882,647,5.41,360,-7,ROU,1913,1944,-1.12
1882,NA,7.03,365,-10,RUS,1912,1936,-0.18000001
1882,NA,7.07,517,NA,RWA,1967,NA,0
1882,NA,6.86,670,NA,SAU,1969,NA,0
1882,NA,6.64,625,NA,SDN,1981,NA,0
1882,NA,5.7,433,NA,SEN,1952,1955,0
1882,NA,5.17,830,NA,SGP,1969,NA,0.039999999
1882,NA,6.42,940,NA,SLB,1996,NA,0
1882,NA,5.72,451,NA,SLE,2015,NA,0
1882,NA,5.9,92,-1,SLV,1927,2005,0
1882,NA,6.87,520,NA,SOM,1958,NA,0
1882,NA,5.44,345,NA,SRB,1922,1950,0.44999999
1882,NA,6.64,525,NA,SSD,NA,NA,0
1882,NA,6.58,115,NA,SUR,NA,NA,0
1882,NA,5.74,317,NA,SVK,1968,1941,0.2
1882,NA,4.51,349,NA,SVN,1971,1950,-0.19
1882,2146,4.32,380,-4,SWE,1913,1947,0.02
1882,NA,6.71,572,NA,SWZ,1997,NA,0
1882,NA,6.85,652,NA,SYR,1959,NA,0
1882,NA,6.06,483,NA,TCD,1952,1956,0
1882,NA,6.34,461,NA,TGO,1956,1956,0
1882,NA,6.35,800,-10,THA,1956,1990,0
1882,NA,5.87,702,NA,TJK,1990,NA,0
1882,NA,6.22,701,NA,TKM,1990,1936,0
1882,NA,6.52,860,NA,TLS,NA,NA,0
1882,NA,4.95,52,NA,TTO,1971,NA,-0.07
1882,NA,6.4,616,NA,TUN,1952,1961,0
1882,NA,6.92,640,-10,TUR,1936,NA,0
1882,NA,6.74,510,NA,TZA,1955,NA,0
1882,NA,6.89,500,NA,UGA,1975,NA,0
1882,NA,7.43,369,NA,UKR,1990,1936,0.07
1882,3027,5.76,165,-3,URY,1935,1943,0.0099999998
1882,5101,4.66,2,10,USA,NA,NA,0.30000001
1882,NA,5.71,704,NA,UZB,1990,NA,0
1882,1014,5.93,101,-4,VEN,1940,NA,-0.039999999
1882,NA,4.7,816,NA,VNM,1964,NA,0
1882,NA,6.88,679,NA,YEM,1995,NA,0
