iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
DOM,1908,42,1964,2,NA,NA,Dominican Republic
DZA,1908,615,1969,2,NA,NA,Algeria
ECU,1908,130,1962,2,NA,NA,Ecuador
EGY,1908,651,1960,2,NA,NA,Egypt
ESP,1908,230,1967,2,NA,NA,Spain
EST,1908,366,2005,3,NA,NA,Estonia
ETH,1908,530,1966,2,NA,NA,Ethiopia
FIN,1908,375,1970,4,NA,NA,Finland
FJI,1908,950,2002,1,NA,NA,Fiji
FRA,1908,220,1981,2,NA,NA,France
GAB,1908,481,1961,2,NA,NA,Gabon
GBR,1908,200,1999,1,NA,NA,United Kingdom
GEO,1908,372,1993,3,NA,NA,Georgia
GHA,1908,452,1961,1,NA,NA,Ghana
GIN,1908,438,1960,2,NA,NA,Guinea
GMB,1908,420,2000,1,NA,NA,Gambia
GNB,1908,404,1977,2,NA,NA,Guinea-Bissau
GNQ,1908,411,2001,2,NA,NA,Equatorial Guinea
GRC,1908,350,1984,2,NA,NA,Greece
GTM,1908,90,1960,2,NA,NA,Guatemala
GUY,1908,110,1975,1,NA,NA,Guyana
HND,1908,91,1960,2,NA,NA,Honduras
HRV,1908,344,1991,3,NA,NA,Croatia
HTI,1908,41,1976,2,NA,NA,Haiti
HUN,1908,310,1961,3,NA,NA,Hungary
IDN,1908,850,1999,2,NA,NA,Indonesia
IND,1908,750,1960,1,NA,NA,India
IRL,1908,205,1999,1,NA,NA,Ireland
IRN,1908,630,1964,2,NA,NA,Iran
IRQ,1908,645,1959,2,NA,NA,Iraq
ISR,1908,666,1959,1,NA,NA,Israel
ITA,1908,325,1963,2,NA,NA,Italy
JAM,1908,51,1975,1,NA,NA,Jamaica
JOR,1908,663,1963,2,NA,NA,Jordan
JPN,1908,740,NA,3,NA,NA,Japan
KAZ,1908,705,1999,2,NA,NA,Kazakhstan
KEN,1908,501,2001,1,NA,NA,Kenya
KGZ,1908,703,1992,2,NA,NA,Kyrgyzstan
KHM,1908,811,1999,2,NA,NA,Cambodia
KOR,1908,732,1998,3,NA,NA,South Korea
KWT,1908,690,1966,2,NA,NA,Kuwait
LAO,1908,812,2008,2,NA,NA,Laos
LBN,1908,660,1977,2,NA,NA,Lebanon
LBR,1908,450,1959,1,NA,NA,Liberia
LBY,1908,620,1961,2,NA,NA,Libya
LKA,1908,780,1998,1,NA,NA,Sri Lanka
LSO,1908,570,1998,1,NA,NA,Lesotho
LTU,1908,368,1994,2,NA,NA,Lithuania
LUX,1908,212,2001,2,NA,NA,Luxembourg
LVA,1908,367,1992,3,NA,NA,Latvia
MAR,1908,600,1963,2,NA,NA,Morocco
MDA,1908,359,1996,2,NA,NA,Moldova
MDG,1908,580,1961,2,NA,NA,Madagascar
MEX,1908,70,1961,2,NA,NA,Mexico
MKD,1908,343,1991,2,NA,NA,North Macedonia
MLI,1908,432,1964,2,NA,NA,Mali
MMR,1908,775,NA,5,NA,NA,Myanmar (Burma)
MNE,1908,341,2006,NA,NA,NA,Montenegro
MNG,1908,712,1969,3,NA,NA,Mongolia
MOZ,1908,541,1977,2,NA,NA,Mozambique
MRT,1908,435,1963,2,NA,NA,Mauritania
MUS,1908,590,2002,2,NA,NA,Mauritius
MWI,1908,553,1965,1,NA,NA,Malawi
MYS,1908,820,NA,1,NA,NA,Malaysia
NAM,1908,565,2001,1,NA,NA,Namibia
NER,1908,436,1962,2,NA,NA,Niger
NGA,1908,475,2002,1,NA,NA,Nigeria
NIC,1908,93,1967,2,NA,NA,Nicaragua
NLD,1908,210,1973,2,NA,NA,Netherlands
NOR,1908,385,1959,4,NA,NA,Norway
NPL,1908,790,1974,1,NA,NA,Nepal
NZL,1908,920,1983,1,NA,NA,New Zealand
OMN,1908,698,NA,2,NA,NA,Oman
PAK,1908,770,1961,1,NA,NA,Pakistan
PAN,1908,95,1966,2,NA,NA,Panama
PER,1908,135,1970,2,NA,NA,Peru
PHL,1908,840,1960,2,NA,NA,Philippines
PNG,1908,910,2000,1,NA,NA,Papua New Guinea
POL,1908,290,1961,3,NA,NA,Poland
PRK,1908,NA,NA,NA,NA,NA,North Korea
PRT,1908,235,1959,2,NA,NA,Portugal
PRY,1908,150,1967,2,NA,NA,Paraguay
QAT,1908,694,1976,2,NA,NA,Qatar
ROU,1908,360,1973,2,NA,NA,Romania
RUS,1908,365,1961,2,NA,NA,Russia
RWA,1908,517,1981,2,NA,NA,Rwanda
SAU,1908,670,1978,1,NA,NA,Saudi Arabia
SDN,1908,625,1970,1,NA,NA,Sudan
SEN,1908,433,1967,2,NA,NA,Senegal
SGP,1908,830,NA,1,NA,NA,Singapore
SLB,1908,940,2012,1,NA,NA,Solomon Islands
SLE,1908,451,1966,1,NA,NA,Sierra Leone
SLV,1908,92,1995,2,NA,NA,El Salvador
SOM,1908,520,1961,NA,NA,NA,Somalia
SRB,1908,345,2000,2,NA,NA,Serbia
SSD,1908,626,2012,NA,NA,NA,South Sudan
SUR,1908,115,2017,2,NA,NA,Suriname
SVK,1908,317,1993,3,NA,NA,Slovakia
