"","iso3","year","cow_code","region","confidence","toa","country_names"
"291","RWA",1881,517,"Africa",NA,NA,"Rwanda"
"292","SAU",1881,670,"Western Asia",NA,NA,"Saudi Arabia"
"293","SDN",1881,625,"Africa",NA,NA,"Sudan"
"294","SEN",1881,433,"Africa",NA,NA,"Senegal"
"295","SGP",1881,830,"South-eastern Asia","Medium",1959,"Singapore"
"296","SLB",1881,940,"Oceania",NA,NA,"Solomon Islands"
"297","SLE",1881,451,"Africa",NA,NA,"Sierra Leone"
"298","SLV",1881,92,"Americas","High",1949,"El Salvador"
"299","SOM",1881,NA,NA,NA,NA,"Somalia"
"300","SRB",1881,345,"Central and Eastern Europe","Medium",1922,"Serbia"
"301","SSD",1881,626,"Africa",NA,NA,"South Sudan"
"302","SUR",1881,115,"Americas","Medium",NA,"Suriname"
"303","SVK",1881,317,"Central and Eastern Europe","Medium",1888,"Slovakia"
"304","SVN",1881,349,"Central and Eastern Europe","Medium",1888,"Slovenia"
"305","SWE",1881,380,"Northern Europe","Medium",1928,"Sweden"
"306","SWZ",1881,572,"Africa",NA,NA,"Eswatini"
"307","SYR",1881,652,"Western Asia",NA,NA,"Syria"
"308","TCD",1881,483,"Africa",NA,NA,"Chad"
"309","TGO",1881,461,"Africa",NA,NA,"Togo"
"310","THA",1881,800,"South-eastern Asia","Medium",1974,"Thailand"
"311","TJK",1881,702,"Central Asia","Low",1922,"Tajikistan"
"312","TKM",1881,701,"Central Asia","Low",1922,"Turkmenistan"
"313","TLS",1881,860,"Asia","(very) Low",1999,"Timor-Leste"
"314","TTO",1881,52,"Americas","High",1951,"Trinidad & Tobago"
"315","TUN",1881,616,"Africa","High",1991,"Tunisia"
"316","TUR",1881,640,"Western Asia","Low",1946,"Turkey"
"317","TZA",1881,510,"Africa",NA,NA,"Tanzania"
"318","UGA",1881,500,"Africa",NA,NA,"Uganda"
"319","UKR",1881,369,"Central and Eastern Europe","Medium",1912,"Ukraine"
"320","URY",1881,165,"Americas","High",1931,"Uruguay"
"321","USA",1881,2,"Americas","High",1965,"United States"
"322","UZB",1881,704,"Central Asia","Low",1922,"Uzbekistan"
"323","VEN",1881,101,"Americas","High",1912,"Venezuela"
"324","VNM",1881,816,"South-eastern Asia","Medium",1976,"Vietnam"
"325","YEM",1881,679,"Western Asia",NA,NA,"Yemen"
"326","ZAF",1881,560,"Africa",NA,NA,"South Africa"
"327","ZMB",1881,551,"Africa",NA,NA,"Zambia"
"328","ZWE",1881,552,"Africa",NA,NA,"Zimbabwe"
"329","AFG",1882,700,"Southern Asia",NA,NA,"Afghanistan"
"330","AGO",1882,540,"Africa","Low",1975,"Angola"
"331","ALB",1882,339,"Central and Eastern Europe","Medium",1946,"Albania"
"332","ARE",1882,696,"Western Asia",NA,NA,"United Arab Emirates"
"333","ARG",1882,160,"Americas","High",1944,"Argentina"
"334","ARM",1882,371,"Central and Eastern Europe","Low",1912,"Armenia"
"335","AUS",1882,900,"Oceania","Medium",1953,"Australia"
"336","AUT",1882,305,"Western Europe","High",1888,"Austria"
"337","AZE",1882,373,"Central and Eastern Europe","Low",1912,"Azerbaijan"
"338","BDI",1882,516,"Africa",NA,NA,"Burundi"
"339","BEL",1882,211,"Western Europe",NA,NA,"Belgium"
"340","BEN",1882,434,"Africa",NA,NA,"Benin"
"341","BFA",1882,439,"Africa",NA,NA,"Burkina Faso"
"342","BGD",1882,771,"Southern Asia","Low",1947,"Bangladesh"
"343","BGR",1882,355,"Central and Eastern Europe","Medium",1888,"Bulgaria"
"344","BHR",1882,692,"Western Asia",NA,NA,"Bahrain"
"345","BIH",1882,346,"Central and Eastern Europe","Medium",1922,"Bosnia & Herzegovina"
"346","BLR",1882,370,"Central and Eastern Europe","Medium",1912,"Belarus"
"347","BOL",1882,145,"Americas","High",1938,"Bolivia"
"348","BRA",1882,140,"Americas","High",1923,"Brazil"
"349","BTN",1882,760,"Southern Asia","Medium",1961,"Bhutan"
"350","BWA",1882,571,"Africa",NA,NA,"Botswana"
"351","CAF",1882,482,"Africa",NA,NA,"Central African Republic"
"352","CAN",1882,20,"Americas","High",1958,"Canada"
"353","CHE",1882,225,"Western Europe","Medium",1911,"Switzerland"
"354","CHL",1882,155,"Americas","High",1924,"Chile"
"355","CHN",1882,710,"Eastern Asia","High",1951,"China"
"356","CIV",1882,437,"Africa",NA,NA,"Côte d’Ivoire"
"357","CMR",1882,471,"Africa",NA,NA,"Cameroon"
"358","COD",1882,490,"Africa","High",1984,"Congo - Kinshasa"
"359","COG",1882,484,"Africa",NA,NA,"Congo - Brazzaville"
"360","COL",1882,100,"Americas","High",1938,"Colombia"
"361","COM",1882,NA,NA,NA,NA,"Comoros"
"362","CPV",1882,402,"Africa","(very) Low",1978,"Cape Verde"
"363","CRI",1882,94,"Americas","High",1941,"Costa Rica"
"364","CUB",1882,40,"Americas","High",1909,"Cuba"
"365","CYP",1882,352,"Western Asia","Medium",1957,"Cyprus"
"366","CZE",1882,316,"Central and Eastern Europe","Medium",1888,"Czechia"
"367","DEU",1882,255,"Western Europe","High",1883,"Germany"
"368","DJI",1882,522,"Africa",NA,NA,"Djibouti"
"369","DNK",1882,390,"Northern Europe","Low",1892,"Denmark"
"370","DOM",1882,42,"Americas","High",1947,"Dominican Republic"
"371","DZA",1882,615,"Africa","High",1976,"Algeria"
"372","ECU",1882,130,"Americas","High",1935,"Ecuador"
"373","EGY",1882,NA,NA,NA,NA,"Egypt"
"374","ESP",1882,230,"Europe","Medium",1883,"Spain"
"375","EST",1882,366,"Central and Eastern Europe","Medium",1912,"Estonia"
"376","ETH",1882,530,"Africa",NA,NA,"Ethiopia"
"377","FIN",1882,375,"Northern Europe","Low",1963,"Finland"
"378","FJI",1882,950,"Oceania","Low",1977,"Fiji"
"379","FRA",1882,220,"Western Europe","Medium",1893,"France"
"380","GAB",1882,481,"Africa",NA,NA,"Gabon"
"381","GBR",1882,200,"Western Europe","High",1911,"United Kingdom"
"382","GEO",1882,372,"Central and Eastern Europe","Low",1912,"Georgia"
"383","GHA",1882,NA,NA,NA,NA,"Ghana"
"384","GIN",1882,438,"Africa",NA,NA,"Guinea"
"385","GMB",1882,420,"Africa",NA,NA,"Gambia"
"386","GNB",1882,404,"Africa","Low",1993,"Guinea-Bissau"
"387","GNQ",1882,411,"Africa","Low",NA,"Equatorial Guinea"
"388","GRC",1882,350,"Southern Europe","Medium",1922,"Greece"
"389","GTM",1882,90,"Americas","High",1944,"Guatemala"
"390","GUY",1882,110,"Americas","Medium",NA,"Guyana"
"391","HND",1882,91,"Americas","High",1959,"Honduras"
"392","HRV",1882,344,"Central and Eastern Europe","Medium",1888,"Croatia"
"393","HTI",1882,41,"Americas","High",1948,"Haiti"
"394","HUN",1882,310,"Central and Eastern Europe","Medium",1891,"Hungary"
"395","IDN",1882,850,"South-eastern Asia","Medium",1949,"Indonesia"
"396","IND",1882,750,"Southern Asia","Low",1947,"India"
"397","IRL",1882,205,"Western Europe",NA,NA,"Ireland"
"398","IRN",1882,630,"Southern Asia","Medium",1955,"Iran"
"399","IRQ",1882,645,"Western Asia",NA,NA,"Iraq"
"400","ISR",1882,666,"Western Asia","Low",1948,"Israel"
"401","ITA",1882,325,"Southern Europe","Medium",1923,"Italy"
"402","JAM",1882,51,"Americas","High",1965,"Jamaica"
"403","JOR",1882,663,"Western Asia",NA,NA,"Jordan"
"404","JPN",1882,740,"Eastern Asia","High",1922,"Japan"
"405","KAZ",1882,705,"Central Asia","Low",1922,"Kazakhstan"
"406","KEN",1882,501,"Africa",NA,NA,"Kenya"
"407","KGZ",1882,703,"Central Asia","Low",1922,"Kyrgyzstan"
"408","KHM",1882,811,"South-eastern Asia","Low",1955,"Cambodia"
"409","KOR",1882,732,"Eastern Asia","Medium",1976,"South Korea"
"410","KWT",1882,690,"Western Asia",NA,NA,"Kuwait"
"411","LAO",1882,812,"South-eastern Asia","Medium",1975,"Laos"
"412","LBN",1882,660,"Western Asia",NA,NA,"Lebanon"
"413","LBR",1882,450,"Africa",NA,NA,"Liberia"
"414","LBY",1882,NA,NA,NA,NA,"Libya"
"415","LKA",1882,780,"Southern Asia","Medium",1948,"Sri Lanka"
"416","LSO",1882,570,"Africa",NA,NA,"Lesotho"
"417","LTU",1882,368,"Central and Eastern Europe","Medium",1912,"Lithuania"
"418","LUX",1882,212,"Western Europe",NA,NA,"Luxembourg"
"419","LVA",1882,367,"Central and Eastern Europe","Medium",1912,"Latvia"
"420","MAR",1882,600,"Africa",NA,NA,"Morocco"
"421","MDA",1882,359,"Central and Eastern Europe","Medium",1912,"Moldova"
"422","MDG",1882,580,"Africa",NA,NA,"Madagascar"
