"","iso3","year","cow_code","x1","toa","country_names"
"2103","SOM",1892,NA,NA,NA,"Somalia"
"2104","SRB",1892,345,42,1922,"Serbia"
"2105","SSD",1892,NA,NA,NA,"South Sudan"
"2106","SUR",1892,NA,NA,NA,"Suriname"
"2107","SVK",1892,317,42,1888,"Slovakia"
"2108","SVN",1892,349,42,1922,"Slovenia"
"2109","SWE",1892,380,42,1891,"Sweden"
"2110","SWZ",1892,572,42,NA,"Eswatini"
"2111","SYR",1892,652,42,NA,"Syria"
"2112","TCD",1892,483,42,1952,"Chad"
"2113","TGO",1892,461,42,1956,"Togo"
"2114","THA",1892,800,42,1990,"Thailand"
"2115","TJK",1892,702,42,1997,"Tajikistan"
"2116","TKM",1892,701,42,1994,"Turkmenistan"
"2117","TLS",1892,NA,NA,NA,"Timor-Leste"
"2118","TTO",1892,52,42,1939,"Trinidad & Tobago"
"2119","TUN",1892,616,42,1960,"Tunisia"
"2120","TUR",1892,640,42,1945,"Turkey"
"2121","TZA",1892,510,42,1997,"Tanzania"
"2122","UGA",1892,500,42,NA,"Uganda"
"2123","UKR",1892,369,42,1912,"Ukraine"
"2124","URY",1892,165,42,1958,"Uruguay"
"2125","USA",1892,2,42,1965,"United States"
"2126","UZB",1892,704,42,1955,"Uzbekistan"
"2127","VEN",1892,101,42,1940,"Venezuela"
"2128","VNM",1892,816,42,1961,"Vietnam"
"2129","YEM",1892,679,42,NA,"Yemen"
"2130","ZAF",1892,560,42,2001,"South Africa"
"2131","ZMB",1892,551,42,1973,"Zambia"
"2132","ZWE",1892,552,42,NA,"Zimbabwe"
"2133","AFG",1893,NA,NA,NA,"Afghanistan"
"2134","AGO",1893,NA,NA,NA,"Angola"
"2135","ALB",1893,339,42,1947,"Albania"
"2136","ARE",1893,NA,NA,NA,"United Arab Emirates"
"2137","ARG",1893,160,42,1934,"Argentina"
"2138","ARM",1893,371,42,1912,"Armenia"
"2139","AUS",1893,900,42,1944,"Australia"
"2140","AUT",1893,305,42,1888,"Austria"
"2141","AZE",1893,373,42,1912,"Azerbaijan"
"2142","BDI",1893,516,42,NA,"Burundi"
"2143","BEL",1893,211,42,1894,"Belgium"
"2144","BEN",1893,434,42,1952,"Benin"
"2145","BFA",1893,439,42,1952,"Burkina Faso"
"2146","BGD",1893,771,42,1939,"Bangladesh"
"2147","BGR",1893,355,42,1918,"Bulgaria"
"2148","BHR",1893,692,42,NA,"Bahrain"
"2149","BIH",1893,NA,NA,NA,"Bosnia & Herzegovina"
"2150","BLR",1893,370,42,1955,"Belarus"
"2151","BOL",1893,145,42,1949,"Bolivia"
"2152","BRA",1893,140,42,1923,"Brazil"
"2153","BTN",1893,NA,NA,NA,"Bhutan"
"2154","BWA",1893,571,42,NA,"Botswana"
"2155","CAF",1893,482,42,1952,"Central African Republic"
"2156","CAN",1893,20,42,1996,"Canada"
"2157","CHE",1893,225,42,1911,"Switzerland"
"2158","CHL",1893,155,42,1924,"Chile"
"2159","CHN",1893,710,42,1951,"China"
"2160","CIV",1893,437,42,1955,"Côte d’Ivoire"
"2161","CMR",1893,471,42,1956,"Cameroon"
"2162","COD",1893,490,42,NA,"Congo - Kinshasa"
"2163","COG",1893,484,42,1956,"Congo - Brazzaville"
"2164","COL",1893,100,42,1938,"Colombia"
"2165","COM",1893,NA,NA,NA,"Comoros"
"2166","CPV",1893,402,42,1976,"Cape Verde"
"2167","CRI",1893,94,42,1941,"Costa Rica"
"2168","CUB",1893,40,42,1934,"Cuba"
"2169","CYP",1893,352,42,1957,"Cyprus"
"2170","CZE",1893,316,42,1888,"Czechia"
"2171","DEU",1893,255,42,1883,"Germany"
"2172","DJI",1893,522,42,1956,"Djibouti"
"2173","DNK",1893,390,42,1892,"Denmark"
"2174","DOM",1893,42,42,1947,"Dominican Republic"
"2175","DZA",1893,615,42,1949,"Algeria"
"2176","ECU",1893,130,42,1935,"Ecuador"
"2177","EGY",1893,651,42,1959,"Egypt"
"2178","ESP",1893,230,42,1929,"Spain"
"2179","EST",1893,366,42,1924,"Estonia"
"2180","ETH",1893,530,42,NA,"Ethiopia"
"2181","FIN",1893,375,42,1963,"Finland"
"2182","FJI",1893,950,42,NA,"Fiji"
"2183","FRA",1893,220,42,1928,"France"
"2184","GAB",1893,481,42,1952,"Gabon"
"2185","GBR",1893,200,42,1911,"United Kingdom"
"2186","GEO",1893,372,42,1964,"Georgia"
"2187","GHA",1893,452,42,2003,"Ghana"
"2188","GIN",1893,438,42,1960,"Guinea"
"2189","GMB",1893,420,42,NA,"Gambia"
